INSERT INTO Staff VALUES ('S0001', 'Sowmya', 'Pujari', '1065', 'Polling Agent', '1000', 'B1C001');
INSERT INTO Staff VALUES ('S0238', 'Utkarsh', 'Uchil', '2076', 'Security Agent', '750', 'B5C024');
INSERT INTO Staff VALUES ('S0239', 'Niva', 'Hiremath', '1285', 'Polling Agent', '1000', 'B1C025');
INSERT INTO Staff VALUES ('S0240', 'Bhuv', 'Anand', '2997', 'Security Agent', '750', 'B2C025');
INSERT INTO Staff VALUES ('S0241', 'Tanish', 'Chavare', '3034', 'Polling Agent', '1000', 'B3C025');
INSERT INTO Staff VALUES ('S0242', 'Rushil', 'Nagane', '3573', 'Security Agent', '750', 'B4C025');
INSERT INTO Staff VALUES ('S0243', 'Anaisha', 'Bhoja', '3615', 'Polling Agent', '1000', 'B5C025');
INSERT INTO Staff VALUES ('S0244', 'Smruthi', 'Anchan', '3783', 'Security Agent', '750', 'B1C025');
INSERT INTO Staff VALUES ('S0245', 'Deepak', 'Shah', '4005', 'Polling Agent', '1000', 'B2C025');
INSERT INTO Staff VALUES ('S0246', 'Akash', 'Babu', '4028', 'Security Agent', '750', 'B3C025');
INSERT INTO Staff VALUES ('S0247', 'Reshma', 'Chavare', '4311', 'Polling Agent', '1000', 'B4C025');
INSERT INTO Staff VALUES ('S0248', 'Drishti', 'Shroff', '4408', 'Security Agent', '750', 'B5C025');
INSERT INTO Staff VALUES ('S0249', 'Girindra', 'Adiga', '1491', 'Polling Agent', '1000', 'B1C026');
INSERT INTO Staff VALUES ('S0250', 'Jayanth', 'Taj', '2437', 'Security Agent', '750', 'B2C026');
INSERT INTO Staff VALUES ('S0251', 'Lakshmi', 'Babu', '2730', 'Polling Agent', '1000', 'B3C026');
INSERT INTO Staff VALUES ('S0252', 'Kripa', 'Prajapati', '2757', 'Security Agent', '750', 'B4C026');
INSERT INTO Staff VALUES ('S0253', 'Mangala', 'Kumari', '2993', 'Polling Agent', '1000', 'B5C026');
INSERT INTO Staff VALUES ('S0254', 'Saheli', 'Shayana', '3129', 'Security Agent', '750', 'B1C026');
INSERT INTO Staff VALUES ('S0255', 'Krishna', 'Manjunath', '3302', 'Polling Agent', '1000', 'B2C026');
INSERT INTO Staff VALUES ('S0256', 'Dhipu', 'Uchil', '3444', 'Security Agent', '750', 'B3C026');
INSERT INTO Staff VALUES ('S0257', 'Devansh', 'Namnaik', '3601', 'Polling Agent', '1000', 'B4C026');
INSERT INTO Staff VALUES ('S0258', 'Shwetha', 'Andrade', '3624', 'Security Agent', '750', 'B5C026');
INSERT INTO Staff VALUES ('S0259', 'Navami', 'Dalvi', '1041', 'Polling Agent', '1000', 'B1C027');
INSERT INTO Staff VALUES ('S0260', 'Shubhangi', 'Shayana', '1955', 'Security Agent', '750', 'B2C027');
INSERT INTO Staff VALUES ('S0261', 'Ishita', 'Mathew', '2012', 'Polling Agent', '1000', 'B3C027');
INSERT INTO Staff VALUES ('S0262', 'Atiksh', 'Anand', '2360', 'Security Agent', '750', 'B4C027');
INSERT INTO Staff VALUES ('S0263', 'Navami', 'Anchan', '2496', 'Polling Agent', '1000', 'B5C027');
INSERT INTO Staff VALUES ('S0264', 'Harshitha', 'Tipparti', '2554', 'Security Agent', '750', 'B1C027');
INSERT INTO Staff VALUES ('S0265', 'Deepika', 'Shetty', '2616', 'Polling Agent', '1000', 'B2C027');
INSERT INTO Staff VALUES ('S0266', 'Lohit', 'Anchan', '2646', 'Security Agent', '750', 'B3C027');
INSERT INTO Staff VALUES ('S0267', 'Aadi', 'Bharanya', '2872', 'Polling Agent', '1000', 'B4C027');
INSERT INTO Staff VALUES ('S0268', 'Nisha', 'Prabhu', '2962', 'Security Agent', '750', 'B5C027');
INSERT INTO Staff VALUES ('S0269', 'Anupama', 'Bal', '1316', 'Polling Agent', '1000', 'B1C028');
INSERT INTO Staff VALUES ('S0270', 'Krisha', 'Hiremath', '2033', 'Security Agent', '750', 'B2C028');
INSERT INTO Staff VALUES ('S0271', 'Mayra', 'Shroff', '2291', 'Polling Agent', '1000', 'B3C028');
INSERT INTO Staff VALUES ('S0272', 'Vaani', 'Kumar', '2736', 'Security Agent', '750', 'B4C028');
INSERT INTO Staff VALUES ('S0273', 'Sagar', 'Moolya', '2822', 'Polling Agent', '1000', 'B5C028');
INSERT INTO Staff VALUES ('S0274', 'Laksh', 'Nand', '3485', 'Security Agent', '750', 'B1C028');
INSERT INTO Staff VALUES ('S0275', 'Nimit', 'Tipparti', '3496', 'Polling Agent', '1000', 'B2C028');
INSERT INTO Staff VALUES ('S0276', 'Manbir', 'Keshri', '3499', 'Security Agent', '750', 'B3C028');
INSERT INTO Staff VALUES ('S0277', 'Gopal', 'Nair', '3714', 'Polling Agent', '1000', 'B4C028');
INSERT INTO Staff VALUES ('S0278', 'Sarthak', 'Bhoja', '3975', 'Security Agent', '750', 'B5C028');
INSERT INTO Staff VALUES ('S0279', 'Jatin', 'Tipparti', '1208', 'Polling Agent', '1000', 'B1C029');
INSERT INTO Staff VALUES ('S0280', 'Arjun', 'Moolya', '2888', 'Security Agent', '750', 'B2C029');
INSERT INTO Staff VALUES ('S0281', 'Nishitha', 'Bhat', '3149', 'Polling Agent', '1000', 'B3C029');
INSERT INTO Staff VALUES ('S0282', 'Mangala', 'Saha', '3505', 'Security Agent', '750', 'B4C029');
INSERT INTO Staff VALUES ('S0283', 'Shrishti', 'Anchan', '4071', 'Polling Agent', '1000', 'B5C029');
INSERT INTO Staff VALUES ('S0284', 'Joseph', 'Babu', '4340', 'Security Agent', '750', 'B1C029');
INSERT INTO Staff VALUES ('S0285', 'Shubhangi', 'Das', '4460', 'Polling Agent', '1000', 'B2C029');
INSERT INTO Staff VALUES ('S0286', 'Vidyalaxmi', 'Padmanabha', '4678', 'Security Agent', '750', 'B3C029');
INSERT INTO Staff VALUES ('S0287', 'Shylaja', 'Suvarna', '5084', 'Polling Agent', '1000', 'B4C029');
INSERT INTO Staff VALUES ('S0288', 'Ishaan', 'Gupta', '5354', 'Security Agent', '750', 'B5C029');
INSERT INTO Staff VALUES ('S0289', 'Amol', 'Shetty', '1110', 'Polling Agent', '1000', 'B1C030');
INSERT INTO Staff VALUES ('S0290', 'Sneha', 'Nagane', '2003', 'Security Agent', '750', 'B2C030');
INSERT INTO Staff VALUES ('S0291', 'Joseph', 'Bangera', '2634', 'Polling Agent', '1000', 'B3C030');
INSERT INTO Staff VALUES ('S0292', 'Nandita', 'Mathew', '2699', 'Security Agent', '750', 'B4C030');
INSERT INTO Staff VALUES ('S0293', 'Dwarakanath', 'Patil', '2776', 'Polling Agent', '1000', 'B5C030');
INSERT INTO Staff VALUES ('S0294', 'Bachittar', 'Gamskar', '3266', 'Security Agent', '750', 'B1C030');
INSERT INTO Staff VALUES ('S0295', 'Navami', 'Pujari', '3278', 'Polling Agent', '1000', 'B2C030');
INSERT INTO Staff VALUES ('S0296', 'Prajna', 'Manjunath', '3362', 'Security Agent', '750', 'B3C030');
INSERT INTO Staff VALUES ('S0297', 'Supriya', 'Banerjee', '3960', 'Polling Agent', '1000', 'B4C030');
INSERT INTO Staff VALUES ('S0298', 'Saanvi', 'Dalvi', '4135', 'Security Agent', '750', 'B5C030');
INSERT INTO Staff VALUES ('S0299', 'Priya', 'Gugale', '1179', 'Polling Agent', '1000', 'B1C031');
INSERT INTO Staff VALUES ('S0300', 'Akshay', 'Dawangave', '1264', 'Security Agent', '750', 'B2C031');
INSERT INTO Staff VALUES ('S0301', 'Pratyush', 'Kouser', '1345', 'Polling Agent', '1000', 'B3C031');
INSERT INTO Staff VALUES ('S0302', 'Priyanka', 'Das', '1381', 'Security Agent', '750', 'B4C031');
INSERT INTO Staff VALUES ('S0303', 'Manvitha', 'Singh', '1425', 'Polling Agent', '1000', 'B5C031');
INSERT INTO Staff VALUES ('S0304', 'Harsh', 'Bansal', '1440', 'Security Agent', '750', 'B1C031');
INSERT INTO Staff VALUES ('S0305', 'Nandita', 'Kouser', '1961', 'Polling Agent', '1000', 'B2C031');
INSERT INTO Staff VALUES ('S0306', 'Rachana', 'Babu', '2129', 'Security Agent', '750', 'B3C031');
INSERT INTO Staff VALUES ('S0307', 'Sayali', 'Bansal', '2133', 'Polling Agent', '1000', 'B4C031');
INSERT INTO Staff VALUES ('S0308', 'Shaurya', 'Pujari', '2137', 'Security Agent', '750', 'B5C031');
INSERT INTO Staff VALUES ('S0309', 'Dharun', 'Rao', '1106', 'Polling Agent', '1000', 'B1C032');
INSERT INTO Staff VALUES ('S0310', 'Ishwar', 'Moolya', '1168', 'Security Agent', '750', 'B2C032');
INSERT INTO Staff VALUES ('S0311', 'Sumana', 'Uchil', '1604', 'Polling Agent', '1000', 'B3C032');
INSERT INTO Staff VALUES ('S0312', 'Darpan', 'Pai', '1630', 'Security Agent', '750', 'B4C032');
INSERT INTO Staff VALUES ('S0313', 'Rayaan', 'Mathew', '1652', 'Polling Agent', '1000', 'B5C032');
INSERT INTO Staff VALUES ('S0314', 'Laksh', 'Raval', '2706', 'Security Agent', '750', 'B1C032');
INSERT INTO Staff VALUES ('S0315', 'Vidyalaxmi', 'Shah', '3142', 'Polling Agent', '1000', 'B2C032');
INSERT INTO Staff VALUES ('S0316', 'Anand', 'Rao', '3162', 'Security Agent', '750', 'B3C032');
INSERT INTO Staff VALUES ('S0317', 'Nikhitha', 'Ramesh', '3185', 'Polling Agent', '1000', 'B4C032');
INSERT INTO Staff VALUES ('S0318', 'Praneetha', 'Bhardwaj', '3222', 'Security Agent', '750', 'B5C032');
INSERT INTO Staff VALUES ('S0319', 'Aparna', 'Andrade', '1529', 'Polling Agent', '1000', 'B1C033');
INSERT INTO Staff VALUES ('S0320', 'Prajna', 'Acharya', '2119', 'Security Agent', '750', 'B2C033');
INSERT INTO Staff VALUES ('S0321', 'Swathi', 'Dawangave', '2233', 'Polling Agent', '1000', 'B3C033');
INSERT INTO Staff VALUES ('S0322', 'Dhanashri', 'Bhat', '2845', 'Security Agent', '750', 'B4C033');
INSERT INTO Staff VALUES ('S0323', 'Amol', 'Kini', '3480', 'Polling Agent', '1000', 'B5C033');
INSERT INTO Staff VALUES ('S0324', 'Sonika', 'Shetty', '3719', 'Security Agent', '750', 'B1C033');
INSERT INTO Staff VALUES ('S0325', 'Renuka', 'Prajapati', '4331', 'Polling Agent', '1000', 'B2C033');
INSERT INTO Staff VALUES ('S0326', 'Sudha', 'Kini', '4544', 'Security Agent', '750', 'B3C033');
INSERT INTO Staff VALUES ('S0327', 'Maanas', 'Manjunath', '4850', 'Polling Agent', '1000', 'B4C033');
INSERT INTO Staff VALUES ('S0328', 'Rebecca', 'Bal', '4920', 'Security Agent', '750', 'B5C033');
INSERT INTO Staff VALUES ('S0329', 'Yagnesh', 'Kini', '1219', 'Polling Agent', '1000', 'B1C034');
INSERT INTO Staff VALUES ('S0330', 'Apoorva', 'Nand', '1433', 'Security Agent', '750', 'B2C034');
INSERT INTO Staff VALUES ('S0331', 'Shambhavi', 'Taj', '1618', 'Polling Agent', '1000', 'B3C034');
INSERT INTO Staff VALUES ('S0332', 'Dileep', 'Bhat', '1633', 'Security Agent', '750', 'B4C034');
INSERT INTO Staff VALUES ('S0333', 'Aryan', 'Hiremath', '1713', 'Polling Agent', '1000', 'B5C034');
INSERT INTO Staff VALUES ('S0334', 'Harsh', 'Saha', '1827', 'Security Agent', '750', 'B1C034');
INSERT INTO Staff VALUES ('S0335', 'Gaurav', 'Kumari', '2058', 'Polling Agent', '1000', 'B2C034');
INSERT INTO Staff VALUES ('S0336', 'Falan', 'Chavare', '2169', 'Security Agent', '750', 'B3C034');
INSERT INTO Staff VALUES ('S0337', 'Shambhavi', 'Taj', '2310', 'Polling Agent', '1000', 'B4C034');
INSERT INTO Staff VALUES ('S0338', 'Sagar', 'Taj', '2403', 'Security Agent', '750', 'B5C034');
INSERT INTO Staff VALUES ('S0339', 'Balhaar', 'Keshri', '1111', 'Polling Agent', '1000', 'B1C035');
INSERT INTO Staff VALUES ('S0340', 'Siddharth', 'Anchan', '1180', 'Security Agent', '750', 'B2C035');
INSERT INTO Staff VALUES ('S0341', 'Mayra', 'Bansal', '1241', 'Polling Agent', '1000', 'B3C035');
INSERT INTO Staff VALUES ('S0342', 'Jeet', 'Saniel', '1353', 'Security Agent', '750', 'B4C035');
INSERT INTO Staff VALUES ('S0343', 'Shobha', 'Dawangave', '1562', 'Polling Agent', '1000', 'B5C035');
INSERT INTO Staff VALUES ('S0344', 'Veena', 'Bansal', '1688', 'Security Agent', '750', 'B1C035');
INSERT INTO Staff VALUES ('S0345', 'Krish', 'Kouser', '2057', 'Polling Agent', '1000', 'B2C035');
INSERT INTO Staff VALUES ('S0346', 'Kavyashri', 'Namnaik', '2125', 'Security Agent', '750', 'B3C035');
INSERT INTO Staff VALUES ('S0347', 'Rebecca', 'Mugeraya', '2165', 'Polling Agent', '1000', 'B4C035');
INSERT INTO Staff VALUES ('S0348', 'Pahal', 'Saldanha', '2192', 'Security Agent', '750', 'B5C035');
INSERT INTO Staff VALUES ('S0349', 'Rahul', 'Nand', '1270', 'Polling Agent', '1000', 'B1C036');
INSERT INTO Staff VALUES ('S0350', 'Ira', 'Mugeraya', '1588', 'Security Agent', '750', 'B2C036');
INSERT INTO Staff VALUES ('S0351', 'Ayush', 'Ramesh', '1750', 'Polling Agent', '1000', 'B3C036');
INSERT INTO Staff VALUES ('S0352', 'Jatin', 'Holla', '2333', 'Security Agent', '750', 'B4C036');
INSERT INTO Staff VALUES ('S0353', 'Rayaan', 'Vernekar', '2613', 'Polling Agent', '1000', 'B5C036');
INSERT INTO Staff VALUES ('S0354', 'Aryan', 'Tipparti', '2901', 'Security Agent', '750', 'B1C036');
INSERT INTO Staff VALUES ('S0355', 'Shruti', 'Naik', '3334', 'Polling Agent', '1000', 'B2C036');
INSERT INTO Staff VALUES ('S0356', 'Rekha', 'Anand', '3351', 'Security Agent', '750', 'B3C036');
INSERT INTO Staff VALUES ('S0357', 'Harsh', 'Rai', '3370', 'Polling Agent', '1000', 'B4C036');
INSERT INTO Staff VALUES ('S0358', 'Raunak', 'Mendonsa', '3412', 'Security Agent', '750', 'B5C036');
INSERT INTO Staff VALUES ('S0359', 'Balendra', 'Raval', '1253', 'Polling Agent', '1000', 'B1C037');
INSERT INTO Staff VALUES ('S0360', 'Balhaar', 'Manjunath', '1329', 'Security Agent', '750', 'B2C037');
INSERT INTO Staff VALUES ('S0361', 'Lakshit', 'Kavser', '1335', 'Polling Agent', '1000', 'B3C037');
INSERT INTO Staff VALUES ('S0362', 'Sumana', 'Chatterjee', '1507', 'Security Agent', '750', 'B4C037');
INSERT INTO Staff VALUES ('S0363', 'Kripa', 'Kumari', '1615', 'Polling Agent', '1000', 'B5C037');
INSERT INTO Staff VALUES ('S0364', 'Rudra', 'Bal', '2156', 'Security Agent', '750', 'B1C037');
INSERT INTO Staff VALUES ('S0365', 'Meera', 'Kouser', '2219', 'Polling Agent', '1000', 'B2C037');
INSERT INTO Staff VALUES ('S0366', 'Madhura', 'Gamskar', '2297', 'Security Agent', '750', 'B3C037');
INSERT INTO Staff VALUES ('S0367', 'Maanas', 'Fernandes', '2593', 'Polling Agent', '1000', 'B4C037');
INSERT INTO Staff VALUES ('S0368', 'Dinella', 'Banerjee', '2627', 'Security Agent', '750', 'B5C037');
INSERT INTO Staff VALUES ('S0369', 'Meghana', 'Shroff', '1340', 'Polling Agent', '1000', 'B1C038');
INSERT INTO Staff VALUES ('S0370', 'Aashish', 'Gupta', '1469', 'Security Agent', '750', 'B2C038');
INSERT INTO Staff VALUES ('S0371', 'Dev', 'Kumari', '1649', 'Polling Agent', '1000', 'B3C038');
INSERT INTO Staff VALUES ('S0372', 'Adah', 'Tipparti', '1662', 'Security Agent', '750', 'B4C038');
INSERT INTO Staff VALUES ('S0373', 'Pranit', 'Holla', '1763', 'Polling Agent', '1000', 'B5C038');
INSERT INTO Staff VALUES ('S0374', 'Pranit', 'Tipparti', '2511', 'Security Agent', '750', 'B1C038');
INSERT INTO Staff VALUES ('S0375', 'Sapna', 'Prabhu', '2705', 'Polling Agent', '1000', 'B2C038');
INSERT INTO Staff VALUES ('S0376', 'Shrinidhi', 'Anchan', '2708', 'Security Agent', '750', 'B3C038');
INSERT INTO Staff VALUES ('S0377', 'Advaith', 'Almeida', '3203', 'Polling Agent', '1000', 'B4C038');
INSERT INTO Staff VALUES ('S0378', 'Jeet', 'Anchan', '3376', 'Security Agent', '750', 'B5C038');
INSERT INTO Staff VALUES ('S0379', 'Parth', 'Belligatti', '1057', 'Polling Agent', '1000', 'B1C039');
INSERT INTO Staff VALUES ('S0380', 'Akshita', 'Kavser', '1221', 'Security Agent', '750', 'B2C039');
INSERT INTO Staff VALUES ('S0381', 'Deepika', 'Naik', '1341', 'Polling Agent', '1000', 'B3C039');
INSERT INTO Staff VALUES ('S0382', 'Abhijith', 'Banerjee', '1370', 'Security Agent', '750', 'B4C039');
INSERT INTO Staff VALUES ('S0383', 'Maanas', 'Nair', '1768', 'Polling Agent', '1000', 'B5C039');
INSERT INTO Staff VALUES ('S0384', 'Chanakya', 'Namnaik', '1938', 'Security Agent', '750', 'B1C039');
INSERT INTO Staff VALUES ('S0385', 'Vaibhavi', 'Padmanabha', '1969', 'Polling Agent', '1000', 'B2C039');
INSERT INTO Staff VALUES ('S0386', 'Prithvi', 'Gugale', '2126', 'Security Agent', '750', 'B3C039');
INSERT INTO Staff VALUES ('S0387', 'Chatura', 'Uchil', '2237', 'Polling Agent', '1000', 'B4C039');
INSERT INTO Staff VALUES ('S0388', 'Rachit', 'Chavare', '2282', 'Security Agent', '750', 'B5C039');
INSERT INTO Staff VALUES ('S0389', 'Namratha', 'Saniel', '1061', 'Polling Agent', '1000', 'B1C040');
INSERT INTO Staff VALUES ('S0390', 'Sagar', 'Bangera', '2319', 'Security Agent', '750', 'B2C040');
INSERT INTO Staff VALUES ('S0391', 'Udarsh', 'Shet', '3208', 'Polling Agent', '1000', 'B3C040');
INSERT INTO Staff VALUES ('S0392', 'Kavyashri', 'Namnaik', '3809', 'Security Agent', '750', 'B4C040');
INSERT INTO Staff VALUES ('S0393', 'Malathy', 'Bhat', '5009', 'Polling Agent', '1000', 'B5C040');
INSERT INTO Staff VALUES ('S0394', 'Shubhangi', 'Rajesh', '6092', 'Security Agent', '750', 'B1C040');
INSERT INTO Staff VALUES ('S0395', 'Sapna', 'Shukla', '6532', 'Polling Agent', '1000', 'B2C040');
INSERT INTO Staff VALUES ('S0396', 'Ekapad', 'Nayak', '7448', 'Security Agent', '750', 'B3C040');
INSERT INTO Staff VALUES ('S0397', 'Chinmayee', 'Adiga', '8727', 'Polling Agent', '1000', 'B4C040');
INSERT INTO Staff VALUES ('S0398', 'Harsh', 'Mathew', '9111', 'Security Agent', '750', 'B5C040');
INSERT INTO Staff VALUES ('S0399', 'Ira', 'Mendonsa', '1195', 'Polling Agent', '1000', 'B1C041');
INSERT INTO Staff VALUES ('S0400', 'Viti', 'Thampy', '1269', 'Security Agent', '750', 'B2C041');
INSERT INTO Staff VALUES ('S0401', 'Veer', 'Saha', '1476', 'Polling Agent', '1000', 'B3C041');
INSERT INTO Staff VALUES ('S0402', 'Prithvi', 'Kulkarni', '2206', 'Security Agent', '750', 'B4C041');
INSERT INTO Staff VALUES ('S0403', 'Adyasa', 'Salian', '2325', 'Polling Agent', '1000', 'B5C041');
INSERT INTO Staff VALUES ('S0404', 'Sethu', 'Nair', '2444', 'Security Agent', '750', 'B1C041');
INSERT INTO Staff VALUES ('S0405', 'Maanas', 'Bansal', '2567', 'Polling Agent', '1000', 'B2C041');
INSERT INTO Staff VALUES ('S0406', 'Kalpit', 'Bansal', '2821', 'Security Agent', '750', 'B3C041');
INSERT INTO Staff VALUES ('S0407', 'Abitha', 'Nagane', '2883', 'Polling Agent', '1000', 'B4C041');
INSERT INTO Staff VALUES ('S0408', 'Shylaja', 'Vernekar', '4539', 'Security Agent', '750', 'B5C041');
INSERT INTO Staff VALUES ('S0409', 'Idhant', 'Keshri', '1710', 'Polling Agent', '1000', 'B1C042');
INSERT INTO Staff VALUES ('S0410', 'Rushil', 'Bharanya', '2032', 'Security Agent', '750', 'B2C042');
INSERT INTO Staff VALUES ('S0411', 'Ravi', 'Prabhakaran', '2159', 'Polling Agent', '1000', 'B3C042');
INSERT INTO Staff VALUES ('S0412', 'Anand', 'Mardhekar', '2380', 'Security Agent', '750', 'B4C042');
INSERT INTO Staff VALUES ('S0413', 'Divya', 'Rao', '3254', 'Polling Agent', '1000', 'B5C042');
INSERT INTO Staff VALUES ('S0414', 'Rudra', 'Adiga', '3306', 'Security Agent', '750', 'B1C042');
INSERT INTO Staff VALUES ('S0415', 'Samaksh', 'Shenoy', '4106', 'Polling Agent', '1000', 'B2C042');
INSERT INTO Staff VALUES ('S0416', 'Deepika', 'Bhoja', '4166', 'Security Agent', '750', 'B3C042');
INSERT INTO Staff VALUES ('S0417', 'Divya', 'Pujari', '4350', 'Polling Agent', '1000', 'B4C042');
INSERT INTO Staff VALUES ('S0418', 'Chaithra', 'Almeida', '4442', 'Security Agent', '750', 'B5C042');
INSERT INTO Staff VALUES ('S0419', 'Devansh', 'Pai', '1015', 'Polling Agent', '1000', 'B1C043');
INSERT INTO Staff VALUES ('S0420', 'Charan', 'Shet', '1030', 'Security Agent', '750', 'B2C043');
INSERT INTO Staff VALUES ('S0421', 'Rebecca', 'Kini', '1044', 'Polling Agent', '1000', 'B3C043');
INSERT INTO Staff VALUES ('S0422', 'Sushmitha', 'Prajapati', '1174', 'Security Agent', '750', 'B4C043');
INSERT INTO Staff VALUES ('S0423', 'Ronith', 'Mugeraya', '1293', 'Polling Agent', '1000', 'B5C043');
INSERT INTO Staff VALUES ('S0424', 'Vaishnavi', 'Moolya', '1311', 'Security Agent', '750', 'B1C043');
INSERT INTO Staff VALUES ('S0425', 'Manthan', 'Gatty', '1464', 'Polling Agent', '1000', 'B2C043');
INSERT INTO Staff VALUES ('S0426', 'Dhanush', 'Keshri', '1481', 'Security Agent', '750', 'B3C043');
INSERT INTO Staff VALUES ('S0427', 'Falan', 'Kumar', '1484', 'Polling Agent', '1000', 'B4C043');
INSERT INTO Staff VALUES ('S0428', 'Indrajit', 'Gamskar', '1503', 'Security Agent', '750', 'B5C043');
INSERT INTO Staff VALUES ('S0429', 'Shabari', 'Thampy', '1403', 'Polling Agent', '1000', 'B1C044');
INSERT INTO Staff VALUES ('S0430', 'Girish', 'Nair', '1462', 'Security Agent', '750', 'B2C044');
INSERT INTO Staff VALUES ('S0431', 'Dwarakanath', 'Uchil', '1741', 'Polling Agent', '1000', 'B3C044');
INSERT INTO Staff VALUES ('S0432', 'Deepak', 'Bal', '2073', 'Security Agent', '750', 'B4C044');
INSERT INTO Staff VALUES ('S0433', 'Saanvi', 'Mardhekar', '2353', 'Polling Agent', '1000', 'B5C044');
INSERT INTO Staff VALUES ('S0434', 'Anirudh', 'Sullad', '2450', 'Security Agent', '750', 'B1C044');
INSERT INTO Staff VALUES ('S0435', 'Sahana', 'Banerjee', '2559', 'Polling Agent', '1000', 'B2C044');
INSERT INTO Staff VALUES ('S0436', 'Tejas', 'Shah', '3089', 'Security Agent', '750', 'B3C044');
INSERT INTO Staff VALUES ('S0437', 'Archana', 'Gatty', '3731', 'Polling Agent', '1000', 'B4C044');
INSERT INTO Staff VALUES ('S0438', 'Aryan', 'Prabhakaran', '4206', 'Security Agent', '750', 'B5C044');
INSERT INTO Staff VALUES ('S0439', 'Tejas', 'Nagane', '1351', 'Polling Agent', '1000', 'B1C045');
INSERT INTO Staff VALUES ('S0440', 'Madhura', 'Nand', '2892', 'Security Agent', '750', 'B2C045');
INSERT INTO Staff VALUES ('S0441', 'Arin', 'Singh', '3445', 'Polling Agent', '1000', 'B3C045');
INSERT INTO Staff VALUES ('S0442', 'Amoli', 'Adiga', '4221', 'Security Agent', '750', 'B4C045');
INSERT INTO Staff VALUES ('S0443', 'Chaitra', 'Hiremath', '4507', 'Polling Agent', '1000', 'B5C045');
INSERT INTO Staff VALUES ('S0444', 'Prakruthi', 'Bangera', '4739', 'Security Agent', '750', 'B1C045');
INSERT INTO Staff VALUES ('S0445', 'Upkaar', 'Nand', '5614', 'Polling Agent', '1000', 'B2C045');
INSERT INTO Staff VALUES ('S0446', 'Rashmitha', 'Bhardwaj', '6038', 'Security Agent', '750', 'B3C045');
INSERT INTO Staff VALUES ('S0447', 'Aashish', 'Kamath', '6087', 'Polling Agent', '1000', 'B4C045');
INSERT INTO Staff VALUES ('S0448', 'Balvan', 'Almeida', '6485', 'Security Agent', '750', 'B5C045');
INSERT INTO Staff VALUES ('S0449', 'Richa', 'Vernekar', '1010', 'Polling Agent', '1000', 'B1C046');
INSERT INTO Staff VALUES ('S0450', 'Meghashree', 'Singh', '1017', 'Security Agent', '750', 'B2C046');
INSERT INTO Staff VALUES ('S0451', 'Sayali', 'Bansal', '1189', 'Polling Agent', '1000', 'B3C046');
INSERT INTO Staff VALUES ('S0452', 'Jenisha', 'Prabhakaran', '1207', 'Security Agent', '750', 'B4C046');
INSERT INTO Staff VALUES ('S0453', 'Sarthak', 'Kouser', '1538', 'Polling Agent', '1000', 'B5C046');
INSERT INTO Staff VALUES ('S0454', 'Tejas', 'Nand', '1541', 'Security Agent', '750', 'B1C046');
INSERT INTO Staff VALUES ('S0455', 'Pooja', 'Kumari', '1641', 'Polling Agent', '1000', 'B2C046');
INSERT INTO Staff VALUES ('S0456', 'Balhaar', 'Gupta', '1800', 'Security Agent', '750', 'B3C046');
INSERT INTO Staff VALUES ('S0457', 'Yagnesh', 'Andrade', '1919', 'Polling Agent', '1000', 'B4C046');
INSERT INTO Staff VALUES ('S0458', 'Keerthi', 'Jain', '1924', 'Security Agent', '750', 'B5C046');
INSERT INTO Staff VALUES ('S0459', 'Meera', 'Manjunath', '1069', 'Polling Agent', '1000', 'B1C047');
INSERT INTO Staff VALUES ('S0460', 'Mitesh', 'Shroff', '1154', 'Security Agent', '750', 'B2C047');
INSERT INTO Staff VALUES ('S0461', 'Meenakshi', 'Nayak', '1829', 'Polling Agent', '1000', 'B3C047');
INSERT INTO Staff VALUES ('S0462', 'Mishka', 'Salian', '1931', 'Security Agent', '750', 'B4C047');
INSERT INTO Staff VALUES ('S0463', 'Shreya', 'Holla', '2047', 'Polling Agent', '1000', 'B5C047');
INSERT INTO Staff VALUES ('S0464', 'Pahal', 'Sheikh', '2161', 'Security Agent', '750', 'B1C047');
INSERT INTO Staff VALUES ('S0465', 'Manvitha', 'Bhardwaj', '2243', 'Polling Agent', '1000', 'B2C047');
INSERT INTO Staff VALUES ('S0466', 'Ananth', 'Almeida', '2275', 'Security Agent', '750', 'B3C047');
INSERT INTO Staff VALUES ('S0467', 'Bakhshi', 'Pujari', '2296', 'Polling Agent', '1000', 'B4C047');
INSERT INTO Staff VALUES ('S0468', 'Nirav', 'Shenoy', '2328', 'Security Agent', '750', 'B5C047');
INSERT INTO Staff VALUES ('S0469', 'Abhinav', 'Prajapati', '1019', 'Polling Agent', '1000', 'B1C048');
INSERT INTO Staff VALUES ('S0470', 'Maanas', 'Uchil', '1020', 'Security Agent', '750', 'B2C048');
INSERT INTO Staff VALUES ('S0471', 'Ishwar', 'Saldanha', '1025', 'Polling Agent', '1000', 'B3C048');
INSERT INTO Staff VALUES ('S0472', 'Faraj', 'Tipparti', '1274', 'Security Agent', '750', 'B4C048');
INSERT INTO Staff VALUES ('S0473', 'Manvitha', 'Prabhu', '1318', 'Polling Agent', '1000', 'B5C048');
INSERT INTO Staff VALUES ('S0474', 'Ajinkya', 'Gugale', '1323', 'Security Agent', '750', 'B1C048');
INSERT INTO Staff VALUES ('S0475', 'Bakhshi', 'Nayak', '1646', 'Polling Agent', '1000', 'B2C048');
